message,use_as
je veux échanger mon billet,example
bonjour je souhaite acheter un billet en tarif flexible afin de pouvoir être éventuellement remboursé si un rdv professionnel est annulé. Sur votre site il est indiqué que le remboursement se fait à la gare de départ. Ceci n'est pas du tout pratique pour moi surtout si mon rdv professionnel est annulé. Pouvez vous m'expliciter les conditions de remboursement ? Merci d'avance,example
Oui s'il vous plaît ... allez-y et annulez le billet ... quel montant sera remboursé? Y at-il des frais avec ce billet que je devrais savoir si annulé?,example
Je dois annuler mon billet pour demain mais le système dit qu'il est trop tard pour annuler. Mais le train est seulement demain?,example
salut! Je m'appelle Nataliya Shitova. J'ai récemment réservé un billet avec les miles que j'ai collectés sur TheCard. Je dois maintenant retourner le billet ou le changer pour une date différente. Je me demande comment je peux connaître les termes d'un tel changement / annulation?,example
Je voudrais annuler mon ticket du: 28-12-2016 avec le code de réservation QMUBKK vais-je récupérer mon argent?,example
Bonjour je vous contacte pour demander si c'est possible d'annuler mon voyage de Dusseldorf a Paris (aller retour) et de se faire remboursé en totalité?,example
Comment pouvoir annuler le billet en trop sans frais ? Merci par avance,example
J'ai réservé un billet thalys pour jeudi 4 mai à 13h17. Ma référence est : SURZOE. J'aimerai savoir jusqu'à quelle heure est-ce que je peux annuler et me faire rembourser mon billet ?,example
Je souhaite annuler/modifier un billet eco-prime. Quelles sont les modalités svp ?,example
Merci pour votre réponse. Donc si j'achète un tarif flexible et que je suis obligée d'annuler ce trajet je peux me faire rembourser intégralement le billet si celui ci a été acheter en ligne ?,example
Je peux annuler et modifier gratuitement,example
Merci. Donc il est possible de les annuler?,example
oui annuler avec remboursement l'aller et le retour,example
bonjour je voudrais annuler un ticket de ythalys,example
Chère Madame cher Monsieur. J'ai un billet réservé pour demain. Serait-il possible de me faire savoir quelles seraient les conditions pour changer et / ou annuler le billet? Merci d'avance.,example
Un tel billet est-il remboursable à 100% si j'annule?,example
"quand je fais la réservation il est écrit ""Conditions de remboursement: remboursement de 100% en cas d'annulation avant le départ (dans votre gare de départ: jusqu'à 1 heure après le départ.) Pas de remboursement en cas d'annulation après le départ. Est-ce incorrect?",example
le tarif permet normalement la changement ou l'annulation jusqu'au départ du train,example
je voudrais connaitre les possibilités d'échange du billet VRUGTE,example
Merci de me donner les condition d'échange de mon billet,example
Est-ce que c'est payant d'échanger un billet groupe ?,example
Puis je échanger mon billet sans frais ?,example
Je souhaite connaitre les possibilités d'échange pour un billet kid,example
Pourriez vous me confirmer les conditions d'échange du billet UZUUTF,example
Mon billet Premium est il échangeable à la dernière minute ?,example
Est-ce que mon billet est annulable ?,example
Quelles sont les conditions d'annulation ?,example
Conditions d'échange,example
conditions de remboursement,example
Remboursement,example
est-ce possible de l'annuler?,example
Quand j'annule en ligne il est dit que je ne peux récupérer que la moitié de mon argent,example
Je peux annuler ma réservation de billet #QDSUXX,example
j'ai payé 150 euros pour l'aller retour. Est-ce que vous pouvez me rembourser et annuler les tickets?,example
Oui je n'arrive pas à annuler mon billet du vendredi 07/04 à 18h55 alors que j'ai un tarif jeune,example
Bonjour j'ai réservé un billet no-flex hier mais je me suis trompé dans les dates et je devrai partir la veille. Est-il possible de le changer / de l'annuler afin que je prenne un billet pour la bonne date?,example
"Oui et voici le message qui est indiqué: ""Le délai de modification et/ou d'annulation de votre billet est dépassé.""",example
Comment se fait-il que si nous avions de la flexibilité dans le passé nous devions annuler notre voyage de Rotterdam récupérer 50% et acheter de nouveaux billets pour prendre un train plus tôt?,example
Je dois annuler mes 2 billets pour mon déplacement du 13/07 à Cologne? comment me faire rembourser?,example
puis je annuler,example
Est-il encore temps d'annuler mes billets des 3 et 6 Octobre?,example
j’ai acheté un billet avec mon abonnement comment me faire rembourser svp ?,example
remboursement tarif satandard,example
jai un tarif mini est-ce que je peux l'échanger pour un train plus tard ?,example
condition d’annulation en premium,example
